title,genre_name
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama
Careful,Horror
A Month by the Lake,Comedy
Gold Diggers: The Secret of Bear Mountain,Drama
Kim,Family
Carmen Miranda: Bananas Is My Business,Documentary
Ashes of Time,Drama
Maya Lin: A Strong Clear Vision,Documentary
Stalingrad,Drama
The Phantom,Adventure
Striptease,Drama
The Last of the High Kings,Drama
Heavy,Drama
Jack,Comedy
I Shot Andy Warhol,Drama
The Grass Harp,Comedy
Someone Else's America,Drama
Life is Rosy,Music
Touki Bouki,Drama
God's Gift,Drama
Spirits of the Dead,Drama
Pharaoh's  Army,Western
Trainspotting,Drama
Til There Was You,Comedy
Independence Day,Action
Stealing Beauty,Drama
The Fan,Drama
The Hunchback of Notre Dame,Drama
The Cable Guy,Comedy
Kingpin,Comedy
Eraser,Action
The Gate of Heavenly Peace,Documentary
The Nutty Professor,Fantasy
"I, the Worst of All",Drama
An Unforgettable Summer,Drama
Somebody to Love,Comedy
A Very Natural Thing,Drama
The Old Lady Who Walked in the Sea,Comedy
Daylight,Action
The Frighteners,Horror
Lone Star,Drama
Harriet the Spy,Comedy
Phenomenon,Drama
Walking and Talking,Comedy
She's the One,Comedy
A Time to Kill,Crime
American Buffalo,Drama
Rendezvous in Paris,Romance
Alaska,Adventure
Fled,Action
Kazaam,Fantasy
Larger Than Life,Family
Power 98,Action
Two Deaths,War
A Very Brady Sequel,Comedy
Stefano Quantestorie,Comedy
Death in the Garden,Adventure
Hedd Wyn,War
La Collectionneuse,Drama
Kaspar Hauser,Drama
Regular Guys,Comedy
Diebinnen,Drama
The Convent,Thriller
The Adventures of Pinocchio,Animation
Joe's Apartment,Fantasy
The First Wives Club,Comedy
Stonewall,Romance
Ransom,Action
High School High,Comedy
Phat Beach,Comedy
Foxfire,Action
Chain Reaction,Action
Matilda,Comedy
Emma,Drama
The Crow: City of Angels,Action
House Arrest,Comedy
Eyes Without a Face,Drama
Bordello of Blood,Horror
Lotto Land,Drama
Flirt,Drama
The Big Squeeze,Drama
The Spitfire Grill,Comedy
Escape from L.A.,Action
Cyclo,Crime
Basquiat,Drama
Tin Cup,Comedy
Dingo,Drama
The Ballad of Narayama,Drama
Every Other Weekend,Drama
The Godfather,Drama
Maybe... Maybe Not,Comedy
Police Story 3: Supercop,Action
Manny & Lo,Drama
Wife,Drama
Bound,Crime
Carpool,Comedy
Death in Brunswick,Drama
Kansas City,Thriller
Gone Fishin',Comedy
Lover's Knot,Romance
Vive L'Amour,Drama
Shadow of Angels,Drama
Killer: A Journal of Murder,Drama
Nothing to Lose,Action
Project S,Action
Girls Town,Comedy
Bye-Bye,Drama
The Relic,Horror
The Island of Dr. Moreau,Fantasy
First Kid,Comedy
The Trigger Effect,Drama
Bogus,Fantasy
Bulletproof,Action
Talk of Angels,Drama
The Land Before Time III: The Time of the Great Giving,Animation
Baton Rouge,Thriller
Halloween: The Curse of Michael Myers,Horror
Twelfth Night,Drama
Mother Night,Drama
Liebelei,Drama
Venice,Drama
Wild Reeds,Drama
For Whom the Bell Tolls,Drama
The Philadelphia Story,Comedy
Singin' in the Rain,Comedy
An American in Paris,Drama
Funny Face,Music
Breakfast at Tiffany's,Comedy
Vertigo,Mystery
Rear Window,Drama
It Happened One Night,Comedy
Gaslight,Drama
The Gay Divorcee,Comedy
North by Northwest,Mystery
The Apartment,Comedy
Some Like It Hot,Comedy
Charade,Comedy
Casablanca,Drama
The Maltese Falcon,Mystery
My Fair Lady,Drama
Sabrina,Comedy
Roman Holiday,Comedy
The Little Princess,Drama
Meet Me in St. Louis,Comedy
The Wizard of Oz,Adventure
Gone with the Wind,Drama
My Favorite Year,Comedy
Sunset Boulevard,Drama
Citizen Kane,Mystery
2001: A Space Odyssey,Science Fiction
Golden Earrings,Adventure
All About Eve,Drama
The Women,Comedy
Rebecca,Drama
Foreign Correspondent,Mystery
Notorious,Thriller
Spellbound,Drama
An Affair to Remember,Drama
To Catch a Thief,Crime
Father of the Bride,Comedy
The Band Wagon,Comedy
Ninotchka,Comedy
Love in the Afternoon,Comedy
Gigi,Comedy
The Reluctant Debutante,Comedy
The Adventures of Robin Hood,Action
The Mark of Zorro,Action
Laura,Drama
The Ghost and Mrs. Muir,Fantasy
Lost Horizon,Adventure
Top Hat,Comedy
To Be or Not to Be,Comedy
My Man Godfrey,Comedy
Giant,Action
East of Eden,Drama
The Thin Man,Comedy
His Girl Friday,Comedy
Around the World in Eighty Days,Adventure
It's a Wonderful Life,Drama
Mr. Smith Goes to Washington,Comedy
Bringing Up Baby,Comedy
Penny Serenade,Drama
The Scarlet Letter,Drama
Lady of Burlesque,Comedy
Of Human Bondage,Drama
Angel on My Shoulder,Comedy
Little Lord Fauntleroy,Drama
They Made Me a Criminal,Thriller
The Inspector General,Comedy
Angel and the Badman,Romance
The 39 Steps,Action
A Walk in the Sun,War
The Outlaw,Action
Night of the Living Dead,Horror
The African Queen,Adventure
Beat the Devil,Action
Cat on a Hot Tin Roof,Drama
The Last Time I Saw Paris,Romance
Meet John Doe,Drama
Algiers,Drama
Something to Sing About,Comedy
A Farewell to Arms,Drama
Moonlight Murder,Music
Nothing Personal,Drama
"Yes, Madam",Action
Dangerous Ground,Drama
Picnic,Drama
The Pompatus of Love,Comedy
Small Wonders,Documentary
Fly Away Home,Action
Bliss,Drama
Grace of My Heart,Drama
Brother of Sleep,Drama
Maximum Risk,Action
Michael Collins,Drama
The Rich Man's Wife,Drama
Infinity,Drama
Big Night,Drama
Last Man Standing,Action
Caught,Action
Set It Off,Drama
2 Days in the Valley,Comedy
Curdled,Comedy
L'associé,Comedy
Extreme Measures,Drama
The Glimmer Man,Action
D3: The Mighty Ducks,Action
The Chamber,Crime
The Apple Dumpling Gang,Comedy
"Davy Crockett, King of the Wild Frontier",Action
Escape to Witch Mountain,Adventure
The Love Bug,Comedy
Herbie Rides Again,Romance
Old Yeller,Adventure
The Parent Trap,Comedy
Pollyanna,Adventure
Homeward Bound: The Incredible Journey,Adventure
The Shaggy Dog,Comedy
Swiss Family Robinson,Adventure
That Darn Cat!,Drama
"20,000 Leagues Under the Sea",Adventure
Cool Runnings,Comedy
Angels in the Outfield,Fantasy
Cinderella,Family
Winnie the Pooh and the Blustery Day,Animation
The Three Caballeros,Animation
The Sword in the Stone,Animation
So Dear to My Heart,Animation
Robin Hood: Prince of Thieves,Adventure
Mary Poppins,Comedy
Dumbo,Animation
Pete's Dragon,Fantasy
Bedknobs and Broomsticks,Adventure
Alice in Wonderland,Animation
The Fox and the Hound,Adventure
Freeway,Comedy
The Sound of Music,Drama
Die Hard,Action
The Lawnmower Man,Horror
Unhook the Stars,Drama
Synthetic Pleasures,Documentary
The Secret Agent,Drama
Secrets & Lies,Drama
That Thing You Do!,Comedy
To Gillian on Her 37th Birthday,Drama
Surviving Picasso,Drama
Love Is All There Is,Comedy
Beautiful Thing,Comedy
The Long Kiss Goodnight,Crime
The Ghost and the Darkness,Adventure
Looking for Richard,Documentary
Trees Lounge,Comedy
The Proprietor,Drama
Normal Life,Crime
Get on the Bus,Drama
Shadow Conspiracy,Action
Jude,Drama
Everyone Says I Love You,Music
Bitter Sugar,Drama
Romeo + Juliet,Drama
Swingers,Comedy
Sleepers,Crime
The Sunchaser,Drama
Johns,Drama
Aladdin and the King of Thieves,Adventure
The Woman in Question,Mystery
Shall We Dance,Comedy
A Damsel in Distress,Comedy
Crossfire,Crime
"Murder, My Sweet",Crime
Macao,Adventure
For the Moment,War
Willy Wonka & the Chocolate Factory,Family
The Sexual Life of the Belgians,Comedy
The Innocents,Horror
Sleeper,Comedy
Bananas,Comedy
A Fish Called Wanda,Comedy
Life of Brian,Comedy
Victor/Victoria,Comedy
The Candidate,Comedy
The Great Race,Adventure
Bonnie and Clyde,Crime
The Old Man and the Sea,Adventure
Dial M for Murder,Crime
Dirty Dancing,Drama
Reservoir Dogs,Crime
Platoon,Drama
Weekend at Bernie's,Comedy
Basic Instinct,Thriller
The Doors,Drama
The Crying Game,Romance
Glengarry Glen Ross,Crime
Sophie's Choice,Drama
E.T. the Extra-Terrestrial,Science Fiction
The Search for One-eye Jimmy,Comedy
A Christmas Carol,Fantasy
Days of Thunder,Adventure
Top Gun,Action
American Strays,Action
Rebel Without a Cause,Drama
A Streetcar Named Desire,Drama
Children of the Corn IV: The Gathering,Horror
The Leopard Son,Documentary
Charm's  Incidents,Comedy
Bird of Prey,Crime
Microcosmos,Documentary
Palookaville,Comedy
The Associate,Comedy
The Funeral,Crime
The Sleepover,Comedy
A Single Girl,Drama
The Eighth Day,Drama
North Star,Action
Drunks,Drama
The People vs. Larry Flynt,Drama
Glory Daze,Comedy
A Perfect Candidate,Documentary
On Golden Pond,Drama
The Return of the Pink Panther,Mystery
Drop Dead Fred,Comedy
The Abyss,Adventure
The Fog,Horror
Escape from New York,Science Fiction
The Howling,Drama
Jean de Florette,Drama
Manon of the Spring,Drama
Johnny 100 Pesos,Drama
Private Benjamin,Comedy
Monty Python and the Holy Grail,Adventure
Hustler White,Romance
Everything Relative,Drama
Entertaining Angels - The Dorothy Day Story,Drama
Three Lives and Only One Death,Comedy
The Line King: The Al Hirschfeld Story,Documentary
Snowriders,Documentary
When We Were Kings,Documentary
The Wrong Trousers,Animation
JLG/JLG: Self-Portrait in December,Documentary
The Return of Martin Guerre,Mystery
Faust,Animation
He Walked by Night,Drama
Raw Deal,Crime
T-Men,Thriller
The Children Are Watching Us,Drama
Pastoral Symphony,Drama
Six of a Kind,Comedy
The Tin Drum,Drama
The Ruling Class,Drama
Mina Tannenbaum,Drama
2 or 3 Things I Know About Her,Comedy
The Bloody Child,Drama
Dear God,Comedy
Bad Moon,Horror
American Dream,Documentary
Best of the Best 3: No Turning Back,Action
Bob Roberts,Comedy
